Mã Giao Dịch,Tên Khách Hàng,Số Điện Thoại,Kênh Bán,Doanh Thu,Ngày Tạo
TRX-2026-00308,   huỳnh hồng giang  ,0947571204,Tiki,3752000,08/08/2026
TRX-2026-00309,Ngô Thanh Dũng,0967622643,Lazada,951000,03/08/2026
TRX-2026-00310,PHAN XUÂN VINH,0941646118,Tiki,8380000,02/08/2026
TRX-2026-00311,Huỳnh Thị Khánh,0971414111,Website,5788000,06/08/2026
TRX-2026-00312,Ngô Hồng Uyên,955140291,Lazada,4289000,03/08/2026
TRX-2026-00313,Lê Hoài Dũng,0914720477,TikTok Shop,3141000,06/08/2026
TRX-2026-00314,Vũ Quang Tâm,0955127573,Facebook Ads,2275000,06/08/2026
TRX-2026-00315,   đỗ văn uyên  ,0946 726 622,Cửa Hàng Trực Tiếp,5903000,02/08/2026
TRX-2026-00316,Nguyễn Hoài Tâm,0911280189,Tiki,6325000,04/08/2026
TRX-2026-00317,Võ Xuân Khánh,0988899746,Facebook Ads,2023000,03/08/2026
TRX-2026-00318,Nguyễn Quang Em,989482195,Shopee,6678000,01/08/2026
TRX-2026-00319,Ngô Minh Linh,0970125320,Cửa Hàng Trực Tiếp,829000,06/08/2026
,ĐẶNG NGỌC QUÂN,0947.960.436,Cửa Hàng Trực Tiếp,3706000,08/08/2026
TRX-2026-00321,Phạm Minh Giang,0982730501,Website,1128000,07/08/2026
TRX-2026-00322,   hoàng thị nam  ,0988775672,Tiki,3960000,05/08/2026
TRX-2026-00323,Huỳnh Minh An,0961014256,TikTok Shop,6302000,10/08/2026
TRX-2026-00324,Võ Thành Hương,929966323,Lazada,3299000,08/08/2026
TRX-2026-00205,TRẦN VĂN LINH,0995922913,Tiki,7420000,08/08/2026
TRX-2026-00326,Phạm Đức An,0990342932,Tiki,5604000,07/08/2026
TRX-2026-00327,Lê Thị Cường,0939808518,Shopee,1124000,01/08/2026
TRX-2026-00328,Hồ Thị Quân,0950.348.579,TikTok Shop,3502000,04/08/2026
TRX-2026-00329,   đặng hồng tâm  ,0925616447,TikTok Shop,6367000,08/08/2026
TRX-2026-00330,PHAN HỒNG AN,961954533,Website,7750000,03/08/2026
TRX-2026-00331,Võ Hoài Sơn,0916595371,Cửa Hàng Trực Tiếp,1756000,04/08/2026
TRX-2026-00332,Hoàng Thị Sơn,0995331485,Website,5173000,05/08/2026
TRX-2026-00333,Đỗ Anh Khánh,0994 153 545,Shopee,3845000,09/08/2026
TRX-2026-00334,Phạm Đức Uyên,0937010142,Website,2426000,09/08/2026
TRX-2026-00335,HUỲNH THỊ GIANG,0933526840,Shopee,4502000,03/08/2026
TRX-2026-00336,   lê anh trang  ,982129913,Cửa Hàng Trực Tiếp,1159000,04/08/2026
TRX-2026-00337,Võ Thanh Khánh,0922124848,Website,6672000,01/08/2026
TRX-2026-00338,Nguyễn Văn An,0936873738,TikTok Shop,5304000,04/08/2026
TRX-2026-00339,Hồ Đức Tâm,0986005182,Lazada,7352000,04/08/2026
TRX-2026-00340,PHẠM VĂN KHÁNH,0983924243,Tiki,3417000,01/08/2026
TRX-2026-00341,Võ Quang Phúc,0971696688,Website,4860000,02/08/2026
TRX-2026-00342,Hồ Đức Vinh,940071277,Cửa Hàng Trực Tiếp,5254000,02/08/2026
TRX-2026-00343,   phạm thanh hải  ,0983655341,Website,1545000,02/08/2026
TRX-2026-00344,Hoàng Văn Quân,0969.417.671,Facebook Ads,5841000,01/08/2026
TRX-2026-00345,VŨ HỒNG UYÊN,0968925914,Lazada,3149000,08/08/2026
TRX-2026-00346,Phan Anh Trang,0960190155,Cửa Hàng Trực Tiếp,2979000,04/08/2026
TRX-2026-00347,Hoàng Thị Tâm,0947304075,Cửa Hàng Trực Tiếp,7532000,07/08/2026
TRX-2026-00348,Đặng Hồng Linh,992435951,Tiki,3174000,03/08/2026
TRX-2026-00349,Huỳnh Ngọc An,0925689509,Cửa Hàng Trực Tiếp,4031000,09/08/2026
TRX-2026-00085,   vũ đức hải  ,0996237279,Cửa Hàng Trực Tiếp,0,07/08/2026
TRX-2026-00351,Dương Hoài Tâm,0951 152 320,Website,1130000,03/08/2026
TRX-2026-00352,Dương Minh Trang,0948.635.238,Facebook Ads,905000,01/08/2026
TRX-2026-00353,Đỗ Minh Quân,0933691990,Facebook Ads,8407000,06/08/2026
TRX-2026-00354,Vũ Thanh Trang,969639157,Tiki,7956000,05/08/2026
TRX-2026-00355,LÊ ANH TRANG,0924217917,Facebook Ads,5046000,05/08/2026
TRX-2026-00356,Dương Văn Tâm,0912597053,TikTok Shop,7805000,01/08/2026
TRX-2026-00357,   trần minh phúc  ,0940925854,Tiki,5429000,03/08/2026
TRX-2026-00358,Lê Xuân Giang,0927808725,Lazada,3404000,02/08/2026
TRX-2026-00359,Bùi Thị Quân,0927308258,Tiki,6010000,04/08/2026
,NGUYỄN NGỌC TÂM,975204729,TikTok Shop,502000,05/08/2026
TRX-2026-00361,Hoàng Hoài Quân,0953180317,Shopee,8424000,07/08/2026
TRX-2026-00362,Vũ Xuân Hải,0916189361,Shopee,6613000,09/08/2026
TRX-2026-00363,Lê Thanh Giang,0937399768,Shopee,6558000,05/08/2026
TRX-2026-00364,   dương xuân uyên  ,0924385403,Website,5665000,10/08/2026
TRX-2026-00365,BÙI QUANG LINH,0967815224,Website,3834000,08/08/2026
TRX-2026-00366,Vũ Ngọc Linh,998324431,Shopee,5264000,03/08/2026
TRX-2026-00367,Phan Hoài Sơn,0972950512,Lazada,1059000,08/08/2026
TRX-2026-00368,Nguyễn Thị Cường,0980.323.861,Website,2873000,10/08/2026
TRX-2026-00369,Bùi Xuân Phúc,0996 685 980,Cửa Hàng Trực Tiếp,5442000,10/08/2026
TRX-2026-00370,NGÔ HOÀI NAM,0942188820,Lazada,7991000,07/08/2026
TRX-2026-00371,   phạm xuân sơn  ,0927231972,Cửa Hàng Trực Tiếp,6887000,10/08/2026
TRX-2026-00372,Ngô Quang Tâm,921538873,Tiki,8252000,03/08/2026
TRX-2026-00373,Vũ Ngọc Phúc,0996743562,Tiki,4140000,07/08/2026
TRX-2026-00374,Dương Thành Giang,0934758042,Cửa Hàng Trực Tiếp,6173000,08/08/2026
TRX-2026-00056,PHAN MINH HƯƠNG,0924357677,Cửa Hàng Trực Tiếp,2723000,09/08/2026
TRX-2026-00376,Hồ Ngọc Sơn,0939.311.914,Tiki,738000,02/08/2026
TRX-2026-00377,Hoàng Ngọc Hương,0984788329,Tiki,6239000,03/08/2026
TRX-2026-00378,   nguyễn minh em  ,929281677,TikTok Shop,4463000,06/08/2026
TRX-2026-00379,Nguyễn Đức Vinh,0998025441,Facebook Ads,4898000,05/08/2026
TRX-2026-00380,LÊ THỊ LINH,0998994526,Cửa Hàng Trực Tiếp,5091000,05/08/2026
TRX-2026-00381,Hồ Minh Bình,0950643686,Shopee,2405000,04/08/2026
TRX-2026-00382,Dương Hồng Vinh,0976612991,Website,6147000,06/08/2026
TRX-2026-00383,Trần Thanh Khánh,0934762564,TikTok Shop,5191000,08/08/2026
TRX-2026-00384,Lê Ngọc Phúc,922575815,Website,1282000,05/08/2026
TRX-2026-00385,   ngô ngọc hải  ,0943769923,Cửa Hàng Trực Tiếp,8081000,04/08/2026
TRX-2026-00386,Phan Anh An,0942846074,Facebook Ads,4819000,01/08/2026
TRX-2026-00387,Nguyễn Thanh Trang,0963 464 732,Facebook Ads,6605000,01/08/2026
TRX-2026-00388,Lê Minh Dũng,0964177396,Facebook Ads,3854000,02/08/2026
TRX-2026-00389,Ngô Hoài An,0971003717,Website,4036000,03/08/2026
TRX-2026-00390,TRẦN THỊ EM,952649745,Shopee,167000,02/08/2026
TRX-2026-00391,Hồ Hoài Hương,0986784166,Shopee,5713000,02/08/2026
TRX-2026-00392,   bùi đức em  ,0974.770.478,Lazada,383000,04/08/2026
TRX-2026-00393,Ngô Đức Hải,0936934492,Cửa Hàng Trực Tiếp,5340000,04/08/2026
TRX-2026-00394,Võ Hoài Phúc,0960049969,Cửa Hàng Trực Tiếp,4638000,03/08/2026
TRX-2026-00395,HOÀNG MINH VINH,0918844231,Shopee,3023000,07/08/2026
TRX-2026-00396,Phan Hoài Hương,911285949,Shopee,7380000,10/08/2026
TRX-2026-00397,Vũ Đức Quân,0974816346,TikTok Shop,4491000,06/08/2026
TRX-2026-00398,Đặng Thị Quân,0932505849,Lazada,8340000,03/08/2026
TRX-2026-00399,   hoàng hồng nam  ,0915918295,Tiki,669000,07/08/2026
,HOÀNG THÀNH TÂM,0951.377.422,Lazada,0,09/08/2026
TRX-2026-00401,Huỳnh Anh Phúc,0935580120,Shopee,1346000,07/08/2026
TRX-2026-00402,Dương Anh Vinh,990560866,Website,7647000,06/08/2026
TRX-2026-00403,Phan Hồng Linh,0926926319,Shopee,3399000,03/08/2026
TRX-2026-00404,Huỳnh Ngọc Quân,0983102131,Shopee,1334000,05/08/2026
TRX-2026-00405,HỒ THÀNH LINH,0964 202 836,Tiki,7146000,04/08/2026
TRX-2026-00406,   nguyễn ngọc em  ,0944862899,Facebook Ads,1155000,06/08/2026
TRX-2026-00407,Ngô Thanh Nam,0959250333,Lazada,6307000,07/08/2026
TRX-2026-00408,Lê Thanh Hương,952694944,Website,2075000,08/08/2026
TRX-2026-00409,Trần Thanh Sơn,0979468121,Website,8175000,08/08/2026
TRX-2026-00410,VÕ HỒNG LINH,0949282919,Cửa Hàng Trực Tiếp,6191000,04/08/2026
TRX-2026-00411,Vũ Xuân Quân,0961999770,Cửa Hàng Trực Tiếp,6233000,01/08/2026
TRX-2026-00412,Hồ Thị Hương,0977674899,Cửa Hàng Trực Tiếp,4105000,07/08/2026
TRX-2026-00413,   đặng minh dũng  ,0971126199,Shopee,7244000,03/08/2026
TRX-2026-00414,Bùi Minh Dũng,959937121,Tiki,590000,03/08/2026
TRX-2026-00415,TRẦN NGỌC PHÚC,0965322548,Facebook Ads,1441000,01/08/2026
TRX-2026-00416,Vũ Thành Tâm,0951.695.158,Lazada,601000,07/08/2026
TRX-2026-00417,Ngô Thanh An,0987935289,Cửa Hàng Trực Tiếp,5490000,04/08/2026
TRX-2026-00418,Phan Thị Vinh,0916685104,Facebook Ads,8461000,05/08/2026
TRX-2026-00419,Dương Đức An,0947484115,Tiki,6163000,07/08/2026
TRX-2026-00420,   phạm đức sơn  ,997976024,Cửa Hàng Trực Tiếp,-500000,02/08/2026
TRX-2026-00421,Lê Xuân Hương,0925724572,Lazada,5147000,04/08/2026
TRX-2026-00422,Dương Thanh Nam,0978555991,Facebook Ads,4305000,04/08/2026
TRX-2026-00423,Võ Thanh Khánh,0917 658 094,Website,5881000,02/08/2026
TRX-2026-00424,Võ Xuân Phúc,0910.756.001,Lazada,3760000,06/08/2026
TRX-2026-00137,TRẦN NGỌC KHÁNH,0948690178,TikTok Shop,943000,04/08/2026
TRX-2026-00426,Bùi Thị Sơn,965022075,TikTok Shop,7971000,05/08/2026
TRX-2026-00427,   vũ hồng linh  ,0963734930,Lazada,8459000,02/08/2026
TRX-2026-00428,Dương Thành Linh,0910510928,TikTok Shop,4618000,08/08/2026
TRX-2026-00429,Ngô Văn Uyên,0981585511,TikTok Shop,1194000,01/08/2026
TRX-2026-00430,HỒ ANH DŨNG,0998049812,Website,4268000,04/08/2026
TRX-2026-00431,Dương Anh Tâm,0929421429,Cửa Hàng Trực Tiếp,3541000,07/08/2026
TRX-2026-00432,Phạm Thị Phúc,988866925,Tiki,3478000,08/08/2026
TRX-2026-00433,Huỳnh Ngọc Phúc,0946659446,Website,8080000,06/08/2026
TRX-2026-00434,   võ anh giang  ,0946809319,Shopee,3115000,03/08/2026
TRX-2026-00435,NGUYỄN HOÀI UYÊN,0959462845,Tiki,6144000,10/08/2026
TRX-2026-00436,Huỳnh Thị Khánh,0979393625,Shopee,966000,03/08/2026
TRX-2026-00437,Vũ Hoài Bình,0939238570,Tiki,2617000,01/08/2026
TRX-2026-00438,Nguyễn Thị Trang,995064691,Facebook Ads,7356000,08/08/2026
TRX-2026-00439,Phạm Văn Quân,0981541203,Tiki,3924000,07/08/2026
,HUỲNH MINH AN,0933.596.641,TikTok Shop,7529000,04/08/2026
TRX-2026-00441,   vũ minh dũng  ,0936 756 226,Facebook Ads,5939000,09/08/2026
TRX-2026-00442,Phạm Hoài Vinh,0944851222,Cửa Hàng Trực Tiếp,1046000,07/08/2026
TRX-2026-00443,Dương Ngọc An,0930820878,Cửa Hàng Trực Tiếp,6791000,08/08/2026
TRX-2026-00444,Lê Xuân Em,937194813,Cửa Hàng Trực Tiếp,8494000,01/08/2026
TRX-2026-00445,VÕ HOÀI GIANG,0928035991,Tiki,6342000,04/08/2026
TRX-2026-00446,Phan Thị Em,0916293914,Cửa Hàng Trực Tiếp,6384000,01/08/2026
TRX-2026-00447,Lê Văn Cường,0918752706,Tiki,5495000,08/08/2026
TRX-2026-00448,   võ thanh linh  ,0971.309.991,Facebook Ads,5947000,09/08/2026
TRX-2026-00449,Lê Văn Khánh,0933361139,Tiki,7483000,07/08/2026
TRX-2026-00287,HUỲNH NGỌC HƯƠNG,984789527,Shopee,0,07/08/2026
TRX-2026-00451,Vũ Hoài Nam,0952440096,Cửa Hàng Trực Tiếp,4091000,07/08/2026
TRX-2026-00452,Hồ Thị Bình,0982158010,Lazada,4019000,01/08/2026
TRX-2026-00453,Trần Đức Hải,0995339079,Lazada,3818000,07/08/2026
TRX-2026-00454,Vũ Quang An,0993491925,Cửa Hàng Trực Tiếp,1235000,10/08/2026
TRX-2026-00455,   hồ xuân uyên  ,0965387808,Lazada,4027000,02/08/2026
TRX-2026-00456,Huỳnh Hoài Hải,969998116,Tiki,1989000,05/08/2026
TRX-2026-00457,Dương Thành Quân,0910138851,Lazada,6683000,07/08/2026
TRX-2026-00458,Lê Thanh Giang,0993866740,Lazada,5193000,06/08/2026
TRX-2026-00459,Hoàng Hoài An,0983 591 490,Lazada,6429000,09/08/2026
TRX-2026-00460,DƯƠNG HOÀI TRANG,0942330692,Shopee,3649000,06/08/2026
TRX-2026-00461,Phan Hoài Quân,0962086783,TikTok Shop,6639000,08/08/2026
TRX-2026-00462,   vũ anh hải  ,933828570,TikTok Shop,1522000,02/08/2026
TRX-2026-00463,Dương Minh Hương,0947856330,Lazada,3740000,04/08/2026
TRX-2026-00464,Nguyễn Thanh An,0912.187.395,Cửa Hàng Trực Tiếp,1779000,01/08/2026
TRX-2026-00465,VÕ ĐỨC CƯỜNG,0923283486,Lazada,4345000,05/08/2026
TRX-2026-00466,Đặng Ngọc Linh,0946141897,Lazada,2662000,04/08/2026
TRX-2026-00467,Đỗ Ngọc Giang,0947393187,Shopee,2907000,08/08/2026
TRX-2026-00468,Đặng Anh Trang,981790664,Lazada,8395000,04/08/2026
TRX-2026-00469,   hồ đức trang  ,0990786028,Shopee,395000,03/08/2026
TRX-2026-00470,NGUYỄN HỒNG TÂM,0930156936,TikTok Shop,2458000,05/08/2026
TRX-2026-00471,Nguyễn Văn Bình,0941770826,Cửa Hàng Trực Tiếp,8101000,02/08/2026
TRX-2026-00472,Phan Thanh An,0946.674.586,Tiki,5780000,04/08/2026
TRX-2026-00473,Hoàng Thanh Khánh,0993362275,Shopee,5353000,09/08/2026
TRX-2026-00474,Đặng Thị Trang,980575628,Lazada,1665000,06/08/2026
TRX-2026-00043,PHẠM MINH GIANG,0999062748,Lazada,789000,04/08/2026
TRX-2026-00476,   hoàng văn sơn  ,0978508093,Shopee,3024000,03/08/2026
TRX-2026-00477,Trần Văn Uyên,0975 052 524,Cửa Hàng Trực Tiếp,6454000,02/08/2026
TRX-2026-00478,Phan Thành Hải,0982444282,Tiki,6225000,05/08/2026
TRX-2026-00479,Bùi Anh Sơn,0997511420,Facebook Ads,231000,08/08/2026
,NGUYỄN HỒNG UYÊN,994164762,TikTok Shop,942000,08/08/2026
TRX-2026-00481,Ngô Hoài Sơn,0982167390,TikTok Shop,789000,01/08/2026
TRX-2026-00482,Vũ Xuân Vinh,0932809829,Cửa Hàng Trực Tiếp,6207000,02/08/2026
TRX-2026-00483,   dương thành an  ,0979204583,Shopee,2856000,04/08/2026
TRX-2026-00484,Trần Thanh Hải,0910639180,Tiki,6856000,02/08/2026
TRX-2026-00485,VŨ THANH QUÂN,0997044364,Shopee,5791000,09/08/2026
TRX-2026-00486,Hoàng Ngọc Tâm,989827620,Lazada,4847000,08/08/2026
TRX-2026-00487,Đặng Thanh Trang,0992751675,Tiki,2572000,10/08/2026
TRX-2026-00488,Phan Văn Bình,0912.572.561,Lazada,5317000,06/08/2026
TRX-2026-00489,Hoàng Thị Hương,0911749293,Cửa Hàng Trực Tiếp,3524000,05/08/2026
TRX-2026-00490,   trần quang linh  ,0954497998,Tiki,-500000,05/08/2026
TRX-2026-00491,Nguyễn Hoài Nam,0956539349,Shopee,6156000,01/08/2026
TRX-2026-00492,Vũ Xuân Bình,951562452,TikTok Shop,5428000,01/08/2026
TRX-2026-00493,Dương Anh Cường,0978820178,Shopee,7634000,01/08/2026
TRX-2026-00494,Nguyễn Quang Phúc,0967556773,TikTok Shop,5570000,08/08/2026
TRX-2026-00495,LÊ THÀNH PHÚC,0991 790 134,Website,876000,01/08/2026
TRX-2026-00496,Đỗ Ngọc Quân,0982.735.707,Lazada,2167000,01/08/2026
TRX-2026-00497,   lê quang bình  ,0933203527,TikTok Shop,5164000,10/08/2026
TRX-2026-00498,Lê Đức Em,973356383,Facebook Ads,1951000,08/08/2026
TRX-2026-00499,Phan Anh Nam,0966642857,Cửa Hàng Trực Tiếp,1800000,04/08/2026
TRX-2026-00398,HỒ HỒNG LINH,0987776675,Cửa Hàng Trực Tiếp,0,03/08/2026
TRX-2026-00501,Hoàng Hoài Uyên,0967321250,Cửa Hàng Trực Tiếp,7456000,07/08/2026
TRX-2026-00502,Đặng Hoài Khánh,0933201827,Shopee,2006000,03/08/2026
TRX-2026-00503,Võ Anh Em,0946363080,Tiki,6434000,03/08/2026
TRX-2026-00504,   hồ anh tâm  ,955033000,Tiki,5578000,01/08/2026
TRX-2026-00505,ĐỖ THỊ TÂM,0940364203,Cửa Hàng Trực Tiếp,6519000,03/08/2026
TRX-2026-00506,Dương Minh Dũng,0940658588,Tiki,279000,07/08/2026
TRX-2026-00507,Phạm Anh Sơn,0915024146,TikTok Shop,8471000,03/08/2026
TRX-2026-00508,Đỗ Thành Quân,0921091015,Website,6019000,06/08/2026
TRX-2026-00509,Đỗ Thanh Sơn,0954043387,Tiki,3594000,03/08/2026
TRX-2026-00510,PHAN MINH TÂM,950773033,TikTok Shop,297000,10/08/2026
TRX-2026-00511,   phan thành an  ,0972797867,Facebook Ads,5853000,10/08/2026
TRX-2026-00512,Hồ Thanh Giang,0986.821.985,Lazada,6542000,04/08/2026
TRX-2026-00513,Bùi Văn Giang,0962 984 430,Facebook Ads,5297000,10/08/2026
TRX-2026-00514,Vũ Ngọc An,0976267479,Tiki,4109000,10/08/2026
TRX-2026-00515,NGUYỄN ANH UYÊN,0991792694,Facebook Ads,7923000,01/08/2026
TRX-2026-00516,Võ Xuân Sơn,985240484,Shopee,3457000,02/08/2026
TRX-2026-00517,Phạm Quang Sơn,0939214641,Lazada,4459000,07/08/2026
TRX-2026-00518,   hồ anh linh  ,0979541371,Cửa Hàng Trực Tiếp,2114000,05/08/2026
TRX-2026-00519,Phạm Thanh Quân,0928105904,Lazada,2927000,08/08/2026
,HỒ HỒNG QUÂN,0945.249.902,TikTok Shop,517000,08/08/2026
TRX-2026-00521,Phan Anh Hải,0965100322,Facebook Ads,3936000,10/08/2026
TRX-2026-00522,Huỳnh Ngọc Sơn,960506515,TikTok Shop,2745000,04/08/2026
TRX-2026-00523,Phạm Xuân Tâm,0924566103,Cửa Hàng Trực Tiếp,1851000,02/08/2026
TRX-2026-00524,Trần Thanh Giang,0932443247,Facebook Ads,8132000,05/08/2026
TRX-2026-00309,   trần hồng sơn  ,0914274570,Cửa Hàng Trực Tiếp,4225000,09/08/2026
TRX-2026-00526,Lê Anh Vinh,0974967213,TikTok Shop,6674000,01/08/2026
TRX-2026-00527,Ngô Ngọc Hải,0986593862,Lazada,4076000,04/08/2026
TRX-2026-00528,Đặng Minh Quân,970140824,Facebook Ads,3374000,09/08/2026
TRX-2026-00529,Hoàng Đức Em,0960221651,Facebook Ads,4675000,01/08/2026
TRX-2026-00530,NGÔ THÀNH AN,0929404000,Tiki,6975000,08/08/2026
TRX-2026-00531,Bùi Hồng Phúc,0922 608 508,TikTok Shop,202000,10/08/2026
TRX-2026-00532,   hoàng minh nam  ,0942061090,Facebook Ads,385000,06/08/2026
TRX-2026-00533,Phan Ngọc Nam,0929111083,Tiki,7633000,05/08/2026
TRX-2026-00534,Nguyễn Thành Hải,926476556,Shopee,5091000,04/08/2026
TRX-2026-00535,VŨ VĂN AN,0942768575,Website,5600000,06/08/2026
TRX-2026-00536,Phạm Quang Bình,0933.286.577,Cửa Hàng Trực Tiếp,7780000,05/08/2026
TRX-2026-00537,Phan Quang Dũng,0998579468,Facebook Ads,8203000,10/08/2026
TRX-2026-00538,Trần Thành Uyên,0980645879,TikTok Shop,812000,01/08/2026
TRX-2026-00539,   đỗ ngọc dũng  ,0927916451,Shopee,1972000,03/08/2026
TRX-2026-00540,ĐẶNG HOÀI SƠN,993332621,Website,1490000,08/08/2026
TRX-2026-00541,Phan Ngọc Bình,0966512499,Tiki,6444000,10/08/2026
TRX-2026-00542,Đỗ Đức An,0933347971,TikTok Shop,3361000,01/08/2026
TRX-2026-00543,Phạm Xuân Sơn,0991564705,Website,1862000,05/08/2026
TRX-2026-00544,Trần Hoài Dũng,0946.917.538,Shopee,7657000,01/08/2026
TRX-2026-00545,ĐẶNG THANH TÂM,0925343753,Facebook Ads,4984000,04/08/2026
TRX-2026-00546,   phạm thanh khánh  ,930953251,Tiki,7837000,06/08/2026
TRX-2026-00547,Huỳnh Ngọc Bình,0992350115,Website,3531000,03/08/2026
TRX-2026-00548,Hoàng Thị Bình,0981865674,TikTok Shop,2286000,08/08/2026
TRX-2026-00549,Bùi Hồng Nam,0977 667 887,TikTok Shop,6053000,06/08/2026
TRX-2026-00511,ĐỖ ĐỨC TÂM,0957878925,Shopee,0,09/08/2026
TRX-2026-00551,Dương Minh Cường,0990747844,Cửa Hàng Trực Tiếp,3845000,06/08/2026
TRX-2026-00552,Huỳnh Thị Em,952244469,Cửa Hàng Trực Tiếp,7633000,08/08/2026
TRX-2026-00553,   trần quang em  ,0987043176,Lazada,5553000,08/08/2026
TRX-2026-00554,Dương Minh Cường,0934828163,Lazada,4943000,04/08/2026
TRX-2026-00555,PHAN THANH KHÁNH,0950700077,Website,2847000,05/08/2026
TRX-2026-00556,Hồ Hoài Giang,0910462228,Cửa Hàng Trực Tiếp,7246000,02/08/2026
TRX-2026-00557,Đặng Đức Em,0952848082,Cửa Hàng Trực Tiếp,1049000,02/08/2026
TRX-2026-00558,Đỗ Thành Sơn,960716477,TikTok Shop,3229000,04/08/2026
TRX-2026-00559,Phạm Thành Hương,0990573960,Facebook Ads,5298000,10/08/2026
,   huỳnh ngọc giang  ,0929.063.445,Lazada,-500000,07/08/2026
TRX-2026-00561,Bùi Thị Uyên,0913255574,Website,1167000,03/08/2026
TRX-2026-00562,Huỳnh Văn Bình,0996767103,Facebook Ads,1349000,06/08/2026
TRX-2026-00563,Hoàng Văn An,0947886856,Facebook Ads,1660000,06/08/2026
TRX-2026-00564,Phạm Thành Giang,932108614,TikTok Shop,3530000,07/08/2026
TRX-2026-00565,DƯƠNG NGỌC NAM,0920561081,Facebook Ads,7740000,06/08/2026
TRX-2026-00566,Ngô Quang Sơn,0911908108,Cửa Hàng Trực Tiếp,668000,05/08/2026
TRX-2026-00567,   dương đức hương  ,0994 390 398,Website,7221000,05/08/2026
TRX-2026-00568,Đỗ Thị Trang,0914.665.485,Lazada,4122000,03/08/2026
TRX-2026-00569,Đặng Anh Quân,0959356775,Lazada,7580000,03/08/2026
TRX-2026-00570,DƯƠNG VĂN SƠN,944593988,Cửa Hàng Trực Tiếp,3984000,06/08/2026
TRX-2026-00571,Dương Hồng Sơn,0953237711,Facebook Ads,7737000,02/08/2026
TRX-2026-00572,Hồ Thị Trang,0931004543,Cửa Hàng Trực Tiếp,7726000,08/08/2026
TRX-2026-00573,Trần Thị Hương,0933755668,TikTok Shop,4085000,01/08/2026
TRX-2026-00574,   dương anh em  ,0933749098,Lazada,8464000,02/08/2026
TRX-2026-00317,HỒ THÀNH PHÚC,0991808065,TikTok Shop,5905000,08/08/2026
TRX-2026-00576,Vũ Quang Sơn,927555878,Cửa Hàng Trực Tiếp,2141000,07/08/2026
TRX-2026-00577,Phan Anh Uyên,0948024175,TikTok Shop,7200000,03/08/2026
TRX-2026-00578,Phạm Đức Trang,0971634235,Lazada,6720000,05/08/2026
TRX-2026-00579,Trần Thị Giang,0946702062,Cửa Hàng Trực Tiếp,315000,10/08/2026
TRX-2026-00580,HOÀNG HOÀI NAM,0946508473,TikTok Shop,7395000,03/08/2026
TRX-2026-00581,   lê hoài bình  ,0971194051,Shopee,5929000,04/08/2026
TRX-2026-00582,Võ Hồng Tâm,966246314,Facebook Ads,7097000,05/08/2026
TRX-2026-00583,Trần Đức Trang,0923884888,Facebook Ads,1756000,03/08/2026
TRX-2026-00584,Bùi Đức Em,0941.882.220,Shopee,857000,08/08/2026
TRX-2026-00585,ĐỖ THÀNH AN,0990 378 139,Facebook Ads,5183000,01/08/2026
TRX-2026-00586,Ngô Thị Hải,0953920593,Lazada,4084000,08/08/2026
TRX-2026-00587,Dương Xuân Trang,0988455134,TikTok Shop,1911000,09/08/2026
TRX-2026-00588,   bùi xuân cường  ,950997631,Cửa Hàng Trực Tiếp,6760000,07/08/2026
TRX-2026-00589,Hồ Thanh Hải,0939152609,Cửa Hàng Trực Tiếp,3738000,08/08/2026
TRX-2026-00590,LÊ NGỌC BÌNH,0915622619,Shopee,1438000,10/08/2026
TRX-2026-00591,Hồ Đức Vinh,0966869924,Tiki,4990000,04/08/2026
TRX-2026-00592,Đỗ Hoài Uyên,0925.575.187,Website,1801000,02/08/2026
TRX-2026-00593,Lê Đức Nam,0974355498,Shopee,6908000,04/08/2026
TRX-2026-00594,Vũ Đức Linh,948040031,Website,1708000,05/08/2026
TRX-2026-00595,   bùi minh vinh  ,0982743564,Cửa Hàng Trực Tiếp,262000,03/08/2026
TRX-2026-00596,Vũ Hồng Quân,0919378759,Cửa Hàng Trực Tiếp,3011000,10/08/2026
TRX-2026-00597,Võ Hoài Tâm,0948348217,Tiki,1157000,04/08/2026
TRX-2026-00598,Ngô Quang Em,0954539806,Tiki,204000,09/08/2026
TRX-2026-00599,Nguyễn Hồng Vinh,0937518161,Website,3010000,08/08/2026
,PHAN XUÂN UYÊN,977920025,TikTok Shop,0,04/08/2026
TRX-2026-00601,Phạm Hoài Khánh,0940530420,Shopee,1057000,10/08/2026
TRX-2026-00602,   dương thành dũng  ,0960945173,Lazada,5735000,09/08/2026
TRX-2026-00603,Đỗ Hoài Sơn,0913 431 942,Lazada,7036000,09/08/2026
TRX-2026-00604,Huỳnh Văn Dũng,0988468205,Website,2218000,03/08/2026
TRX-2026-00605,LÊ HOÀI TRANG,0943110316,Tiki,1477000,02/08/2026
TRX-2026-00606,Hoàng Hoài Tâm,994010694,Cửa Hàng Trực Tiếp,3865000,07/08/2026
TRX-2026-00607,Vũ Xuân Tâm,0985319831,Lazada,2187000,07/08/2026
TRX-2026-00608,Nguyễn Minh Tâm,0910.654.248,Website,5062000,07/08/2026
TRX-2026-00609,   trần quang phúc  ,0985818709,Website,1529000,04/08/2026
TRX-2026-00610,HOÀNG THÀNH TÂM,0926119646,Facebook Ads,3869000,09/08/2026
TRX-2026-00611,Dương Minh Bình,0986115352,Shopee,2682000,07/08/2026
